2020中国大学排行榜(完整榜单)
校友会大学排名 软科大学排名 武书连大学排名 QS大学排名
泰晤士 ESI Usnews 更多排名
名次 学校名称 全国排名 星级排名 办学层次
144 潍坊学院 519 1★ 区域知名大学
145 龙岩学院 526 1★ 区域知名大学
146 三明学院 530 1★ 区域知名大学
146 赤峰学院 530 1★ 区域知名大学
148 攀枝花学院 534 1★ 区域知名大学
149 黄淮学院 539 1★ 区域知名大学
149 泰山学院 539 1★ 区域知名大学
151 山东青年政治学院 545 1★ 区域知名大学
151 陇东学院 545 1★ 区域知名大学
153 平顶山学院 548 1★ 区域知名大学
153 安顺学院 548 1★ 区域知名大学
153 辽东学院 548 1★ 区域知名大学
153 呼伦贝尔学院 548 1★ 区域知名大学
157 榆林学院 556 1★ 区域知名大学
157 邯郸学院 556 1★ 区域知名大学
157 宿州学院 556 1★ 区域知名大学
160 兰州文理学院 564 1★ 区域知名大学
160 枣庄学院 564 1★ 区域知名大学
162 衡水学院 571 1★ 区域知名大学
163 萍乡学院 576 1★ 区域知名大学
164 山东女子学院 580 1★ 区域知名大学
164 哈尔滨学院 580 1★ 区域知名大学
164 池州学院 580 1★ 区域知名大学
164 西昌学院 580 1★ 区域知名大学
168 四川文理学院 585 1★ 区域知名大学
168 新乡学院 585 1★ 区域知名大学
168 济宁学院 585 1★ 区域知名大学
168 浙大城市学院 585 1★ 区域知名大学
172 安康学院 595 1★ 区域知名大学
172 菏泽学院 595 1★ 区域知名大学
172 邢台学院 595 1★ 区域知名大学
175 新余学院 600 1★ 区域知名大学
176 商洛学院 606 1★ 区域知名大学
176 泰州学院 606 1★ 区域知名大学
178 张家口学院 608 1★ 区域知名大学
179 四川旅游学院 610 1★ 区域知名大学
180 普洱学院 612 1★ 区域知名大学
180 景德镇学院 612 1★ 区域知名大学
182 滇西应用技术大学 617 1★ 区域知名大学
183 河套学院 619 1★ 区域知名大学
184 昭通学院 629 1★ 区域知名大学
185 亳州学院 632 1★ 区域知名大学
中国社会科学院大学 6★ 世界高水平大学
名次 学校名称 全国排名 星级排名 办学层次
1 山东英才学院 3 6★ 中国顶尖民办大学
2 三亚学院 5 6★ 中国顶尖民办大学
3 武汉学院 8 6★ 中国顶尖民办大学
4 西安培华学院 9 6★ 中国顶尖民办大学
5 湖南涉外经济学院 10 6★ 中国顶尖民办大学
6 上海建桥学院 12 6★ 中国顶尖民办大学
7 汉口学院 13 6★ 中国顶尖民办大学
8 武汉工商学院 14 6★ 中国顶尖民办大学
9 沈阳城市学院 17 6★ 中国顶尖民办大学
10 西安外事学院 18 6★ 中国顶尖民办大学
